complaint_id,timestamp,text_length,rule_based_indicators,gemini_analysis,overall_risk_score
11310670,2025-10-23T11:40:18.452563,1541,{'financial_red_flags': ['send money']},"{'scam_probability': 100, 'red_flags': ['Company impersonation: The alleged employer was impersonating a legitimate company (XXXX).', ""Unsolicited job offer: The victim was 'contacted by a company' rather than applying through official channels."", ""Request for money from 'employee': The victim was 'convinced to send money under false pretenses.' Legitimate employers pay employees, they do not ask employees to send money."", 'Non-payment for work: The victim was never paid for the completed tasks.', ""Remote work for simple tasks: While legitimate, 'completing sets and reviewing albums/singles' can be a common cover for task-based advance fee scams."", 'Communication through non-official channels (implied): Scammers often use messaging apps or generic email addresses rather than official company domains.', ""Bank claim denial due to 'inconsistencies': This often happens when the victim voluntarily transferred funds, even under duress or deception, which complicates fraud recovery under bank policies.""], 'financial_risk': 'High', 'scam_type': ""Job Offer/Employment Scam combined with an Advance Fee/Task Scam and Impersonation. The scam started as a fake job offer (employment scam) using the identity of a real company (impersonation). The core financial loss occurred when the victim was manipulated into sending money, typical of an advance fee scam where funds are requested for 'equipment,' 'training,' 'fees,' or as part of a 'task' where the victim is told they need to 'invest' to unlock more significant earnings or withdraw funds."", 'victim_profile': 'The victim appears to be someone actively or passively seeking remote employment opportunities. They demonstrated trust in the legitimacy of the initial job offer and the communications from the alleged representatives. They may lack awareness of common scam tactics, particularly the crucial red flag that legitimate employers never ask employees to send money. The desire for compensation for work performed made them vulnerable to the financial manipulation. The denial of the bank claim suggests a potential lack of understanding regarding the nuances of bank fraud policies, especially concerning voluntary transfers.', 'recommendations': [""Verify all job offers independently: Always contact the company directly through official channels (website, main corporate phone number) to confirm the job opening and recruiter's identity, never using contact information provided by the 'recruiter.'"", ""Never send money to an employer: A legitimate employer will never ask an employee to pay for equipment, training, background checks, or any other 'fees.' They pay *you*."", 'Be suspicious of unsolicited job offers: Exercise extreme caution with job offers received out of the blue, especially those offering high pay for simple tasks.', 'Protect personal information: Be wary of sharing sensitive personal or financial information until employment is officially verified.', 'Document everything meticulously: Keep records of all communications, transaction details, and any evidence of the scam for law enforcement and financial institutions.', ""Report to authorities: In addition to local law enforcement, report the scam to federal agencies like the FBI's Internet Crime Complaint Center (IC3), the Federal Trade Commission (FTC), and the Better Business Bureau (BBB)."", ""Understand bank dispute policies: Review the specific reasons for the bank's denial and understand the difference between unauthorized transactions and voluntary payments, even if coerced by fraud."", 'Seek legal advice: If the amount is significant and the bank claim is denied, consult with a lawyer specializing in fraud or consumer protection to explore legal avenues.', 'Educate yourself on scam tactics: Stay informed about common employment and advance fee scams to protect yourself and others.'], 'confidence': 100}",55
11258229,2025-10-23T11:40:29.409666,1219,"{'financial_red_flags': ['paypal'], 'urgency_pressure': ['immediately']}","{'scam_probability': 100, 'red_flags': [""Unsolicited job offer from someone 'acting like a big HR person' without prior application."", ""Receipt of an unexpected check for 'remote equipment' or initial setup funds."", ""Insistence on depositing the check immediately due to urgency ('nature of work environment and the holidays')."", ""Extreme pushiness to transfer funds to a 'fake vendor' for equipment before the deposited check has fully cleared."", ""The requirement to use personal funds (even if 'reimbursed' by the check) to purchase equipment from a specific, unknown vendor."", ""Bank advising to deposit a suspicious check 'to look at it' (this is a common misunderstanding; depositing it makes the account holder responsible if it bounces)."", ""The victim's bank later alerting them to the fraudulent nature of the check, indicating it bounced."", ""PayPal stating 'nothing could be done' after funds were sent, typical of irreversible transfers to scammers.""], 'financial_risk': 'High', 'scam_type': 'Fake Check / Employment Scam (Hybrid)', 'victim_profile': ""The victim is someone actively seeking employment in a challenging economy, making them more vulnerable to attractive but fake job offers. They demonstrated a degree of diligence by verifying LinkedIn accounts and contacting their bank, indicating a cautious but ultimately trusting nature. However, they were susceptible to social engineering tactics like urgency and impersonation, and likely lacked full understanding of banking procedures (specifically, that funds becoming 'available' does not mean a check has fully 'cleared'). This combination of need, diligence, and specific knowledge gaps made them a target."", 'recommendations': [""Never send money back or forward funds from a check you've just deposited, especially if pressured. A legitimate check will clear, and a legitimate employer will not ask you to do this."", ""Verify all job offers directly with the company using official contact information from their corporate website, not information provided by the 'recruiter'."", ""Be highly suspicious of any job offer that involves receiving a check and then sending money to a third party for 'equipment' or 'software'. Legitimate companies either provide equipment directly or reimburse *after* you've purchased it, not *before* the check clears."", ""Understand that 'funds available' at your bank does not mean the check has fully cleared. It can take weeks for a check to truly clear, and if it bounces, you are responsible for the funds."", ""Be wary of any job offer that seems 'too good to be true' or applies undue pressure or urgency."", 'Legitimate employers rarely conduct interviews solely through text or chat platforms, and typically have a more rigorous hiring process.', ""If you suspect a scam, do not engage further. Report it to the FBI IC3, FTC, and your state's consumer protection agencies."", ""For payments made via PayPal, always check if the transaction is covered by PayPal's purchase protection. In cases of sending money 'friends and family' or to a fraudulent business, recovery can be very difficult.""], 'confidence': 100}",60
11629506,2025-10-23T11:40:48.155270,1669,{},"{'scam_probability': 100, 'red_flags': ['Unsolicited job offer via college email (potential phishing/spoofing or compromised account).', 'No interview or formal hiring process (only email communication).', 'Instructions to deposit a check and then use personal funds to purchase materials/send money back.', ""Checks sent 'through email' (likely digital images of fake checks)."", ""Pressure to act quickly due to 'schedule time' when bank takes days to clear checks."", 'Insistence on using personal savings *before* the deposited check has fully cleared.', 'Scammer disappears/stops responding once the fraud is discovered by the bank.', 'Bank explicitly states the deposited checks were fake.', 'Victim lost all savings and incurred negative balance.'], 'financial_risk': 'High', 'scam_type': ""Employment Scam / Fake Check Scam / Advance Fee Scam. The core mechanism is a fake check scam, where the victim is instructed to deposit a fraudulent check, and then send a portion of the funds (from their own cleared money, or by using personal savings under pressure) to a third party (often the scammer themselves, or a money mule) before the bank realizes the check is fake. This is often disguised as a work-from-home or internship opportunity requiring the victim to act as a 'purchasing agent' or 'personal assistant'."", 'victim_profile': ""The victim is a college student actively seeking a summer internship to pay off student bills, making them financially vulnerable and eager for income. Their inexperience in the job market and with common scam tactics, combined with a potential lack of understanding of how bank check clearing processes work, made them susceptible. They were also trusting of the 'employer' and their instructions, even when typical hiring procedures were skipped."", 'recommendations': ['Be highly skeptical of unsolicited job offers, especially those found in spam folders or unexpected emails. Always verify the legitimacy of a company and job opening directly through their official website or LinkedIn profile, not just by replying to an email.', 'Legitimate employers will always conduct interviews (phone, video, or in-person) and follow a formal hiring process. Lack of interviews or vetting is a major red flag.', 'Never accept a job offer that asks you to deposit a check and then wire money, purchase gift cards, or send money back to anyone for any reason. This is a classic fake check scam.', ""Understand banking procedures: funds made 'available' by your bank do not mean the check has 'cleared'. It can take weeks for a check to fully clear, and if it's fraudulent, you will be held responsible for the entire amount."", 'Never use your personal bank account for company expenses, especially if the company is not well-established or you have not met anyone in person.', 'If a job requires you to purchase equipment or supplies, a legitimate employer will provide them directly, issue a company credit card, or reimburse you *after* a proper approval process, never by sending you a check to then send money elsewhere.', ""Report all suspicious job offers to your college's career services and IT department, as well as the Federal Trade Commission (FTC), FBI's Internet Crime Complaint Center (IC3), and local law enforcement."", ""If you have been scammed, contact your bank immediately to report the fraud. While reimbursement is rare in fake check scams, it's crucial for the bank to be aware and to close any compromised accounts.""], 'confidence': 100}",50
11338911,2025-10-23T11:41:00.238169,1428,{},"{'scam_probability': 100, 'red_flags': ['Unsolicited job/internship offer via email.', ""Quick 'hiring' process without formal interviews or background checks."", ""Demand for upfront payment for 'materials' for the internship."", 'Promise of reimbursement after the victim pays out of pocket.', ""Use of digital checks as payment for 'reimbursement'."", ""Pressure to send money out-of-pocket because 'digital checks' take time to clear."", 'The timeline for check processing (a week) is used to create urgency for the victim to pay.', 'Contact person became unresponsive after the victim sent money.', ""The 'reimbursement' checks were ultimately fake, leading to complete loss of funds.""], 'financial_risk': 'High', 'scam_type': 'Fake Check Scam / Advance Fee Scam (Job/Internship Scam Variant)', 'victim_profile': ""The victim was likely seeking an internship opportunity, making them vulnerable to attractive job offers. Their unfamiliarity with banking processes, especially the difference between funds being 'available' and 'cleared' for deposited checks, was exploited. The desire to secure the role ('so that I could get the role') and the perceived urgency (schedule didn't align) made them susceptible to paying out of pocket, trusting the 'reimbursement' promise."", 'recommendations': ['Be highly suspicious of unsolicited job or internship offers, especially those not requiring a formal interview process.', 'Legitimate employers/internships will never ask you to pay for materials, equipment, or training upfront, especially with the promise of future reimbursement.', 'Never send money to a potential employer or anyone claiming to be part of the hiring process.', ""Understand how checks work: funds deposited from a check are often made 'available' by your bank before the check has fully 'cleared'. Always wait for a check to fully clear (which can take several business days, sometimes longer) before spending, withdrawing, or sending any money based on that deposit. If the check bounces, you are responsible for the funds."", 'Verify any job offer directly with the company through official channels (e.g., their official website, not links provided in suspicious emails).', ""If an employer sends you a check and asks you to use part of it to pay a third party (for materials, software, etc.), it's almost certainly a scam."", 'Monitor your bank accounts regularly for suspicious activity.', 'Report any suspicious job offers to the Federal Trade Commission (FTC), FBI (IC3), and your bank.'], 'confidence': 100}",50
11582419,2025-10-23T11:41:14.727003,636,"{'financial_red_flags': ['fake check', 'zelle']}","{'scam_probability': 100, 'red_flags': [""Job offer requiring the victim to purchase equipment from a specific vendor (or via funds provided by the 'company')"", 'Receipt of a check (often for an amount greater than needed) for supposed equipment purchases or job-related expenses', 'Instruction to deposit a check and then immediately send a portion of the funds via an irreversible payment method like Zelle, Cash App, or wire transfer', ""The 'company' fronting as a legitimate employer, but using unofficial or suspicious communication methods"", 'Bank eventually identifying the check as fraudulent after the victim has already sent money', 'Pressure to act quickly before the check fully clears, often under the guise of starting work soon'], 'financial_risk': 'High', 'scam_type': ""Fake Check / Overpayment Scam (often an Employment/Work-From-Home Scam variant). The scam leverages the desire for employment to trick victims into depositing a fraudulent check and then sending 'excess' funds to the scammer via an irreversible payment method."", 'victim_profile': ""The victim was actively seeking employment ('avidly trying to get a XXXX XXXX XXXX XXXX'), which makes individuals highly vulnerable to attractive job offers, especially those promising remote work or seemingly easy entry. A lack of awareness regarding fake check schemes and the irreversible nature of Zelle transactions (especially when dealing with unknown parties) contributed to their vulnerability. The urgency associated with starting a new job also likely played a role in the victim's willingness to follow instructions without sufficient due diligence."", 'recommendations': ['Never send money back to someone who overpays you, especially if the payment comes from a check and you are asked to send funds via a different, irreversible method.', 'Be highly suspicious of any job offer that requires you to purchase equipment or materials from a specific vendor, especially if they send you a check for the purchase.', ""Verify the legitimacy of any job offer directly with the company using official contact information found independently (e.g., their official website), not through contact details provided by the 'recruiter'."", ""Understand that funds from a deposited check can be made 'available' by your bank before the check has fully cleared. Always wait for a check to *fully clear* (which can take several days to weeks) before spending the money or sending any portion of it."", 'Be cautious of payment apps like Zelle, Venmo, or Cash App for business transactions with unknown parties. These are designed for sending money to trusted friends and family, and transactions are generally irreversible once sent.', ""If you suspect a job offer is a scam, do not engage. Report it to the Federal Trade Commission (FTC), the FBI's Internet Crime Complaint Center (IC3), and your state's Attorney General."", 'Educate yourself on common scam tactics, particularly fake check scams and employment scams.'], 'confidence': 100}",60
11913356,2025-10-23T11:41:45.665653,5752,"{'financial_red_flags': ['send money'], 'urgency_pressure': ['immediately'], 'communication_red_flags': ['text message']}","{'scam_probability': 100, 'red_flags': ['Unsolicited job offer/approach from an unknown individual claiming affiliation with a legitimate organization.', 'Insistence on overpayment, paying in full upfront with a check, even when a deposit was suggested.', ""Use of a cashier's check, which can appear legitimate but is often forged in scams."", ""Urgency to deposit the check 'as soon as possible' and 'digitally' upon delivery."", ""False assurance from the scammer that funds were 'successfully deposited and deducted' from their account immediately, despite the victim's account still showing funds as pending."", 'Sudden and unexpected cancellation of the project shortly after the check deposit.', ""Immediate request to 'refund' a portion of the payment (the 'overpayment') using a quick, non-reversible digital payment method (e.g., Zelle, email-based transfer)."", ""Provision of fake documentation (e.g., 'school cancellation letter') to legitimize the refund request."", ""The check ultimately bouncing/reversing due to being fraudulent, causing the victim's account to go into negative."", ""The scammer going 'dark' and ceasing communication once confronted about the fake check and the victim's losses.""], 'financial_risk': 'High', 'scam_type': ""Fake Check Scam / Overpayment Scam (a form of Advance Fee Fraud). The core mechanism involves sending a fraudulent check for an amount exceeding the agreed-upon payment, then instructing the victim to send back the 'overpaid' difference before the fake check is identified by the bank."", 'victim_profile': ""The victim appears to be a freelancer or service provider (e.g., illustrator) actively seeking work or clients. Vulnerability factors include a natural desire for legitimate work and income, potential lack of awareness regarding the mechanics of fake check scams (specifically, how banks provisionally credit funds before they clear), and susceptibility to the scammer's urgency and deceptive communication designed to build trust and pressure immediate action."", 'recommendations': [""**Verify the Employer/Client:** Always independently verify the legitimacy of any company or individual offering work. Use official contact information from their genuine website, not information provided by the prospective 'client'."", '**Beware of Overpayment Schemes:** Never accept a check or payment for more than the agreed-upon amount and then be asked to send the difference back. This is a nearly universal sign of a fake check scam.', ""**Understand Bank Clearing Times:** Do not spend, withdraw, or send money from a deposited check until your bank explicitly confirms that the funds have *fully cleared* and are truly available. Provisional credit means the money appears in your account, but it's not actually yours until the check processes, which can take 5-10 business days or more for fraudulent checks."", '**Use Secure and Reversible Payment Methods for Client Payments/Refunds:** If a legitimate refund is ever required, use secure, traceable, and potentially reversible methods (e.g., direct bank transfer with clear recipient verification, credit card refunds). Avoid non-reversible digital payment apps (like Zelle, Cash App, Venmo) for sending money to unverified individuals, as these are often used by scammers.', '**Insist on Verification for Urgent or Unusual Requests:** If a client makes urgent requests for money transfers or sudden project changes that involve sending money, insist on a phone call or video conference to verify their identity and the legitimacy of the request.', ""**Report to Authorities:** Report the scam to relevant authorities such as the Federal Trade Commission (FTC), the FBI's Internet Crime Complaint Center (IC3), and local law enforcement."", ""**Persist with Bank Claims:** Although denied initially, gather all evidence (communications, check images, bank statements) and try to escalate the claim with the bank's fraud department. While recovery is difficult, it's worth pursuing."", '**Educate Yourself:** Learn about common employment and payment scams to recognize red flags proactively.'], 'confidence': 100}",65
11576878,2025-10-23T11:41:57.994428,673,"{'financial_red_flags': ['check bounced', 'zelle']}","{'scam_probability': 100, 'red_flags': ['Received an illegitimate check to cash and then transfer funds', ""Transferring funds to 'another account' for an 'organization'"", ""The premise of 'Aiding the less fortunate' used as a pretext"", ""Lack of understanding of check clearing times ('Before the check bounced the money was gone')"", 'Involvement of Zelle (or similar instant payment apps) for transferring funds received from a check deposit', 'Victim was unemployed, making them vulnerable to job-related scams', 'The offer involved handling funds for a third party without direct employment confirmation or clear job duties'], 'financial_risk': 'High', 'scam_type': 'Fake Check Scam / Employment Scam / Advance Fee Scam', 'victim_profile': ""The victim was likely unemployed, seeking work, and possibly in a financially vulnerable position, which made them susceptible to a fraudulent job offer or opportunity. They demonstrated a lack of awareness regarding how checks clear at banks and the irreversible nature of instant money transfers (like Zelle) once a fraudulent check bounces. Their desire to help a 'charitable' organization or start a new job was exploited."", 'recommendations': [""Never transfer money back to anyone who sends you a check, especially if it's for an 'overpayment', 'supplies', or to 'send to a third party'."", ""Understand that 'funds available' in your account does not mean the check has 'cleared'. Banks are required to make deposited funds available quickly, but it can take days or weeks for the check to fully clear and be verified as legitimate. If the check bounces, you are responsible for the funds."", 'Be extremely wary of any job offer that requires you to deposit a check and then use some of the money to send funds via Zelle, wire transfer, gift cards, or cryptocurrency to a third party.', 'Always verify the legitimacy of employers or organizations independently through official websites, not just contact information provided by the supposed employer.', 'Legitimate employers do not typically send you a check to purchase equipment or materials from a specific vendor; they provide the equipment directly or reimburse you *after* you have purchased it with your own, clearly available funds and started work.', 'Use Zelle and similar instant payment apps only with people you know and trust. Funds sent via these apps are usually irreversible.', 'If a job offer seems too good to be true, it likely is. Research the company and the specific job offer thoroughly.', ""Report the scam to local police, the Federal Trade Commission (FTC), and the FBI's Internet Crime Complaint Center (IC3).""], 'confidence': 100}",60
4635636,2025-10-23T11:42:12.542649,714,"{'financial_red_flags': ['money order'], 'urgency_pressure': ['right away']}","{'scam_probability': 100, 'red_flags': [""Unsolicited job offer with promise of easy, high pay ('get {[AMOUNT]} per week')"", 'Received an unexpected check in the mail, larger than expected pay', ""Urgency to deposit the check and send money ('needs to go today')"", ""Instructions to deposit a check and immediately send a portion of the funds back to the 'employer' or a third party"", 'Use of irreversible payment methods like money orders', 'Pressure tactics to send money via overnight mail', 'Bank stated they cannot credit the victim back, indicating the deposited check bounced'], 'financial_risk': 'High', 'scam_type': ""Fake Check / Overpayment Scam (disguised as a job offer). The scammer sends a fraudulent check (often for more than the agreed amount, or for a supposed 'start-up' cost), instructs the victim to deposit it and then immediately wire back or send a portion of the funds via irreversible methods (money order, wire transfer, gift card) before the fake check is identified and bounces, leaving the victim responsible for the entire amount sent."", 'victim_profile': ""The victim is currently unemployed and actively looking for ways to make 'extra money,' which makes them vulnerable to appealing but fraudulent job offers. They were likely seeking a quick and easy source of income, and perhaps lacked a full understanding of how bank check clearing processes work, leading them to believe the funds were 'good' as soon as they were available in their account. Their financial distress and desire for employment made them susceptible to the scammer's promises and pressure tactics."", 'recommendations': [""Never send money back to anyone who sends you a check, especially if it's for more than the expected amount."", ""Always wait for a check to fully clear your bank account (which can take days or even weeks) before spending any of the money or sending funds to another party. 'Funds available' does not mean 'check cleared'."", 'Be highly suspicious of any job that requires you to deposit a check and then send money via wire transfer, money order, or gift cards to a third party or back to the employer.', 'Research any prospective employer thoroughly. Legitimate companies have professional websites, verifiable contact information, and do not conduct business this way.', 'If you suspect a check is fraudulent, do not deposit it. Take it to your bank and explain your suspicions.', 'Report the scam to your bank immediately, local law enforcement, the Federal Trade Commission (FTC), and the Internet Crime Complaint Center (IC3).'], 'confidence': 100}",60
4516979,2025-10-23T11:42:27.048721,2240,"{'financial_red_flags': ['fake check', 'check bounced', 'money order']}","{'scam_probability': 100, 'red_flags': ['Original job listing removed from website quickly.', ""Contacted by a 'partner' for a *different* job than the one applied for."", ""Job description involving 'running personal errands' and handling 'donations' for foster care and 'invoices to colleagues' for a school (unusual duties for a school position)."", 'Rapid hiring process with a start date set within a week, often bypassing formal interviews or thorough vetting.', 'Received a check (implied, as it bounced) and was immediately instructed to make purchases (XXXX XXXX XXXX) and send money via money orders.', 'The received check bounced, leading to an overdrawn bank account.', 'The school district confirmed they did NOT host the job listing for the specific position described by the scammer.', ""Victim's independent research revealed multiple similar 'XXXX XXXX jobs' with the same suspicious format."", ""Bank representative acknowledged this as a 'common thing' (a common scam)."", 'Money orders were sent to an address in a different state (XXXX, TX) which may be a drop address and likely untraceable.'], 'financial_risk': 'High', 'scam_type': 'Fake Check Scam / Employment Scam', 'victim_profile': 'The victim is highly vulnerable, recently experiencing homelessness and long-term unemployment, making them desperate for income and a stable job. This desperation likely made them more susceptible to a seemingly quick and easy job offer. They were actively seeking legitimate employment through a job board, indicating a genuine need. Their financial precarity (just getting out of negative balance) makes the impact of the scam particularly devastating. While initially trusting, they demonstrated proactive vigilance by checking their bank account, contacting the bank, performing research, and filing multiple reports once suspicion arose.', 'recommendations': ['Always verify job offers directly with the hiring company or institution using contact information found independently on their official website, not contact details provided by the recruiter or in the job listing.', 'Be extremely wary of any job that requires you to deposit a check and then immediately use a portion of that money to send to others via money order, wire transfer, or gift cards. This is a hallmark of a fake check scam.', 'Understand that banks are legally required to make deposited funds available quickly, but this does NOT mean the check has cleared. If a check bounces days or weeks later, you are responsible for repaying the bank.', 'Legitimate employers will not ask you to handle personal errands involving significant financial transactions or use your personal bank account to manage company funds or donations.', 'If a job offer seems too good to be true, moves too quickly, or has unusual payment terms, it is likely a scam. Conduct thorough due diligence.', 'Continue to monitor your bank accounts for any further suspicious activity. Inform your bank of all details regarding the scam.', 'Keep detailed records of all communications, transactions, and reports filed. While recovering funds in a fake check scam is challenging, these records are crucial for any potential future investigations or legal recourse.'], 'confidence': 100}",65
